,0
Past_Accepted,0.07477581423573043
Spending_Ratio,0.0503554342669561
Store_Share,0.048746190417846114
Monetary,0.04833425811498948
Income,0.03884985826737575
Catalog_Share,0.032479312124813475
Frequency_pm,0.03245691181497379
Customer_Tenure_Days,0.03184191371812872
Premium_Tilt,0.02712923171118997
Category_Concentration,0.023377342368958276
Recency,0.01966779195560342
RFM_Total,0.015014685472900302
Age,0.012226049788829796
Deals_Share,0.011786404543900009
Total_Purchases,0.011426838740394407
Web_Share,0.010539540870831532
